Life Radio,http://94.136.28.10:8000/liferadio,Adult Contemporary,Austria
Life Radio Tyrol,http://194.232.200.164:8000,Adult Contemporary,Austria
Joe FM,http://icecast-qmusic.cdp.triple-it.nl:80/JOEfm_be_live_96.mp3,Adult Contemporary,Belgium
Frekvence 1 Romantika,http://pool.cdn.lagardere.cz:80/web-f1-romantika,Adult Contemporary,Czech Republic
M2 LOVE,http://live.m2stream.fr/m2love-128.mp3,Adult Contemporary,France
MFM,http://mfm.ice.infomaniak.ch:80/mfm-128,Adult Contemporary,France
NDR 2,http://ndr-ndr2-nds-mp3.akacast.akamaistream.net/7/400/252763/v1/gnl.akacast.akamaistream.net/ndr_ndr2_nds_mp3,Adult Contemporary,Germany
Sky Radio,http://8543.live.streamtheworld.com:80/SKYRADIO_SC,Adult Contemporary,Netherlands
Klem FM,http://mms-live.online.no:80/p4_klem_mp3_mq,Adult Contemporary,Norway
Radio Norge,http://stream.sbsradio.no:8000/radionorge.mp3,Adult Contemporary,Norway
Radio Metro Oslo,http://stream.21stventure.com:8100/,Adult Contemporary,Norway
Rádio Jemné Melódie,http://93.184.69.143:8000/,Adult Contemporary,Slovakia
Fun Radio Love Songs,http://stream.funradio.sk:8000/slow128.mp3,Adult Contemporary,Slovakia
Radio Center Love,http://212.18.63.51:8060/,Adult Contemporary,Slovenia
Lugna Favoriter 104-7,http://stream-ice.mtgradio.com:8080/stat_lugna_favoriter,Adult Contemporary,Sweden
Radio 100FM,http://onair.100fmlive.dk:80/100fm_live.mp3,Adult Contemporary,Denmark
Antenne Bayern,http://mp3channels.webradio.antenne.de:80/antenne,Adult Contemporary,Germany
Charivari 95-5,http://rs5.stream24.net:80/stream,Adult Contemporary,Germany
R101,http://str30.creacast.com/r101a,Adult Contemporary,Italy
Radio 8FM,http://server-31.stream-server.nl:8802/,Adult Contemporary,Netherlands
HR Радио,http://hrradio.hostingradio.ru:8077/hrradio128.mp3,Adult Contemporary,Russia
Радио Лучшие Песни,http://listen1.myradio24.com:9000/6666,Adult Contemporary,Russia
Радио Шансон,http://icecast.chanson.cdnvideo.ru:8000/chanson_128_pm.mp3,Adult Contemporary,Russia
Империя Шансона,http://s2.radioboss.fm:8132/autodj,Adult Contemporary,Russia
Radio Expres,http://85.248.7.162:8000/96.mp3,Adult Contemporary,Slovakia
Mix Megapolis,http://194.16.21.227:8000/mix_se_mp3,Adult Contemporary,Sweden
Rix FM,http://stream-ice.mtgradio.com:8080/stat_rix_fm,Adult Contemporary,Sweden
Русская Лирика,http://music.myradio.ua/RusLyrics128.mp3,Adult Contemporary,Ukraine
