Stephansdom,http://streaming.lxcluster.at:8000/live128,Classical,Austria
Radio Klara,http://mp3.streampower.be/klara-high,Classical,Belgium
Klara Continuo,http://mp3.streampower.be/klaracontinuo-high,Classical,Belgium
Classic FM,http://46.10.150.123:80/classic-fm.mp3,Classical,Bulgaria
ČRo D-dur,http://icecast5.play.cz/croddur-128.mp3,Classical,Czech Republic
Classic FM,http://icecast8.play.cz:80/classic128.mp3,Classical,Czech Republic
Danmarks Radio P2,http://live-icy.gss.dr.dk:8000/A/A04L.mp3,Classical,Denmark
Radio Klassisk,http://onair.100fmlive.dk:80/klassisk_live.mp3,Classical,Denmark
Rondo Classic Klasu,http://stream.iradio.fi:8000/klasu-med.mp3,Classical,Finland
Rondo Classic Klasu Pro,http://stream.iradio.fi:8000/klasupro-med.mp3,Classical,Finland
Accent 4,http://str0.creacast.com/accent4,Classical,France
Radio Classique,http://ice7.infomaniak.ch:80/radioclassique-high.mp3,Classical,France
M2 CLASSIC,http://live.m2stream.fr/m2classic-128.mp3,Classical,France
BR-Klassik,http://br-mp3-br-klassik-s.akacast.akamaistream.net/7/150/142693/v1/gnl.akacast.akamaistream.net/br_mp3_br-klassik_s,Classical,Germany
HR2,http://hr-mp3-m-h2.akacast.akamaistream.net/7/786/142132/v1/gnl.akacast.akamaistream.net/hr-mp3-m-h2,Classical,Germany
Klassik Radio,http://62.27.47.223:8000/klassikradio128/livestream.mp3,Classical,Germany
MDR FIGARO,http://c22033-ls.i.core.cdn.streamfarm.net/HZSKMnDUg9922033/22033mdr/live/app2128740352/w2128904193/live_de_128.mp3,Classical,Germany
NDR Kultur,http://ndr-ndrkultur-mp3.akacast.akamaistream.net/7/527/273758/v1/gnl.akacast.akamaistream.net/ndr_ndrkultur_mp3,Classical,Germany
RBB Kulturradio,http://rbb-mp3-kulturradio-m.akacast.akamaistream.net/7/935/292095/v1/gnl.akacast.akamaistream.net/rbb_mp3_kulturradio_m,Classical,Germany
SR2 KulturRadio,http://gffstream.ic.llnwd.net/stream/gffstream_mp3_w58a,Classical,Germany
WDR 3,http://wdr-3.akacast.akamaistream.net/7/47/119437/v1/gnl.akacast.akamaistream.net/wdr-3,Classical,Germany
SWR2,http://swr-mp3-m-swr2.akacast.akamaistream.net/7/721/137135/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr2,Classical,Germany
MR3-Bartók Rádió,http://stream001.radio.hu:8080/mr3.mp3,Classical,Hungary
Klasszik Rádió,http://online.klasszikradio.hu/klasszik.mp3,Classical,Hungary
RTE Lyric FM,http://icecast2.rte.ie/lyric,Classical,Ireland
RAI FD5 Auditorium,http://icestreaming.rai.it/5.mp3,Classical,Italy
Radio Classica,http://str30.creacast.com:80/class_radioclassica,Classical,Italy
Radio 4,http://icecast.omroep.nl:80/radio4-sb-mp3,Classical,Netherlands
AVRO De Klassieken,http://icecast.omroep.nl:80/radio4-klassieken-bb-mp3,Classical,Netherlands
AVRO Baroque around the Clock,http://icecast.omroep.nl:80/radio4-baroque-bb-mp3,Classical,Netherlands
AVRO Film,http://icecast.omroep.nl:80/radio4-film-bb-mp3,Classical,Netherlands
Concertzender,http://streams.greenhost.nl:8080/live,Classical,Netherlands
Nieuwe Muziek,http://streams.greenhost.nl:8080/nieuwemuziek,Classical,Netherlands
Oude Muziek,http://streams.greenhost.nl:8080/oudemuziek,Classical,Netherlands
Klassieke Muziek,http://streams.greenhost.nl:8080/klassiek,Classical,Netherlands
De Gehoorde Stilte,http://streams.greenhost.nl:8080/gehoordestilte,Classical,Netherlands
November Music,http://streams.greenhost.nl:8080/novembermusic,Classical,Netherlands
Gregoriaans,http://streams.greenhost.nl:8080/gregoriaans,Classical,Netherlands
Raakvlakken,http://streams.greenhost.nl:8080/raakvlakken,Classical,Netherlands
NRK Klassisk,http://lyd.nrk.no:80/nrk_radio_klassisk_mp3_m,Classical,Norway
Radio Culture,http://livestream.rfn.ru:8080/kulturafm/mp3_192kbps,Classical,Russia
SRO Rádio Devín,http://live.slovakradio.sk:8000/Devin_128.mp3,Classical,Slovakia
SRO Rádio Klasika,http://live.slovakradio.sk:8000/Klasika_128.mp3,Classical,Slovakia
RNE Radio Clásica,http://195.10.10.223/rtve/radioclasica.mp3?GKID=42e681029ea611e49ff300163e25ebaa&fspref=aHR0cDovL3d3dy5saXN0ZW5saXZlLmV1L2NsYXNzaWNhbC5odG1s,Classical,Spain
Catalunya Música,http://195.10.10.223/ccma/catmusica.mp3?GKID=633e25c29ea611e49ff300163e25ebaa&fspref=aHR0cDovL3d3dy5saXN0ZW5saXZlLmV1L2NsYXNzaWNhbC5odG1s,Classical,Spain
CatClàssica,http://195.10.10.223/ccma/catclassica.mp3?GKID=79daafb29ea611e49ff300163e25ebaa&fspref=aHR0cDovL3d3dy5saXN0ZW5saXZlLmV1L2NsYXNzaWNhbC5odG1s,Classical,Spain
Radio Swiss Classic,http://stream.srg-ssr.ch/m/rsc_de/mp3_128,Classical,Switzerland
Classic FM,http://81.20.48.10:80/ClassicFMMP3,Classical,United Kingdom
