Crooze FM,http://77.92.64.44:8045/stream,Jazz,Belgium
Jazz FM,http://46.10.150.123:80/jazz-fm.mp3,Jazz,Bulgaria
ČRo Jazz,http://stream3.rozhlas.cz:8000/jazz_high.mp3,Jazz,Czech Republic
DR P8 Jazz,http://live-icy.gss.dr.dk:8000/A/A22L.mp3,Jazz,Denmark
Jazz Radio,http://ice6.infomaniak.ch:80/jazzradio-high.mp3,Jazz,France
Classic Jazz,http://ice13.infomaniak.ch:80/jazz-wr01-128.mp3,Jazz,France
Manouche,http://ice13.infomaniak.ch:80/jazz-wr02-128.mp3,Jazz,France
New Orleans,http://ice4.infomaniak.ch:80/jazz-wr03-128.mp3,Jazz,France
Electro Swing,http://ice4.infomaniak.ch:80/jazz-wr04-128.mp3,Jazz,France
Jazz Contemporary,http://ice3.infomaniak.ch:80/jazz-wr05-128.mp3,Jazz,France
Jazz Funk,http://ice3.infomaniak.ch:80/jazz-wr06-128.mp3,Jazz,France
Jazz Groove,http://ice5.infomaniak.ch:80/jazz-wr08-128.mp3,Jazz,France
Jazz Latin,http://ice5.infomaniak.ch:80/jazz-wr09-128.mp3,Jazz,France
Jazz Soul,http://ice15.infomaniak.ch:80/jazz-wr10-128.mp3,Jazz,France
Jazz Soul Food,http://ice15.infomaniak.ch:80/jazz-wr12-128.mp3,Jazz,France
Black Music,http://ice13.infomaniak.ch:80/jazzblackmusic-high.mp3,Jazz,France
Blues,http://ice13.infomaniak.ch:80/jazzblues-high.mp3,Jazz,France
Ladies & Crooners,http://ice14.infomaniak.ch:80/jazzladiescrooners-high.mp3,Jazz,France
Lounge,http://ice14.infomaniak.ch:80/jazzlounge-high.mp3,Jazz,France
LinasJazz,http://radios2.awedia.com:80/linasjazz.mp3,Jazz,France
M2 JAZZ,http://live.m2stream.fr:80/m2jazz-128.mp3,Jazz,France
Swing FM,http://ice14.infomaniak.ch:80/swingfm-128.mp3,Jazz,France
TSF,http://tsfjazz.ice.infomaniak.ch:80/tsfjazz-high,Jazz,France
Coolradio Jazz,http://4broadcast.de:8000/coolradio-jazz-128s.mp3,Jazz,Germany
SR 2 - Off-Beat,http://gffstream.ic.llnwd.net/stream/gffstream_w25a,Jazz,Germany
Jazzy,http://online.jazzy.hu:80/stream/1/,Jazz,Hungary
Jazz FM,http://217.16.69.17:8000/jazz.mp3,Jazz,Macedonia
Sublime FM,http://82.201.47.68:80/SublimeFM2,Jazz,Netherlands
Concertzender Jazz,http://streams.greenhost.nl:8080/jazz,Jazz,Netherlands
Radio 6 Jazz,http://icecast.omroep.nl:80/radio6-jazz-bb-mp3,Jazz,Netherlands
Radio 6 Jazz Jong,http://icecast.omroep.nl:80/radio6-jazzjong-mp3,Jazz,Netherlands
NRK Jazz,http://lyd.nrk.no:80/nrk_radio_jazz_mp3_m,Jazz,Norway
RadioJAZZ.fm,http://stream.radiojazz.fm:8000/radiojazzfm-hi.mp3,Jazz,Poland
RMF Smooth Jazz,http://files.kusmierz.be/rmf/smoothjazz-1facts.mp3,Jazz,Poland
iCatjazz,http://195.10.10.224/ccma/icatjazz.mp3?GKID=1a005d569cfa11e49ff300163e25ebaa&fspref=aHR0cDovL3d3dy5saXN0ZW5saXZlLmV1L2phenouaHRtbA%3D%3D,Jazz,Spain
Radio Swiss Jazz,http://stream.srg-ssr.ch/m/rsj/mp3_128,Jazz,Switzerland
Radio Crazy Jazz,http://friends-of-radius.ethz.ch:8000/radiocrazy-jazz.mp3,Jazz,Switzerland
TSTU Jazz,http://radio.tstu.edu.ua:8000/jazz,Jazz,Ukraine
Jazz FM,http://adsi-e-02-boh.sharp-stream.com/jazzfmmobile.mp3,Jazz,United Kingdom
181 FM Soul,http://relay.181.fm:8058/,Jazz,USA
Sax 4 Love,http://sc-sax4ever.1.fm:10148/,Jazz,USA
Smooth Jazz,http://192.81.248.193:8032/,Jazz,USA
RadiAN,http://streaming.radionomy.com/RadiAN?.mp3,Jazz,USA
WCJS Radio,http://198.154.106.111:8221/,Jazz,USA
