Antenne Vorarlberg Rock,http://webradio.antennevorarlberg.at:80/classicrock,Rock,Austria
RTBF Classic 21,http://ice14.infomaniak.ch:80/wr-lesclassiquesdeclassic-128.mp3,Rock,Belgium
Nostalgie RockParty,http://ice31.infomaniak.ch:8000/nostalgierockparty-128.mp3,Rock,Belgium
Radio Z-Rock,http://46.10.150.123:80/z-rock.mp3,Rock,Bulgaria
Radio Beat,http://icecast2.play.cz/radiobeat128.mp3,Rock,Czech Republic
RockMax Rádio,http://212.111.2.151:8000/rockmax_128.mp3,Rock,Czech Republic
RockMax Rádio Oldies,http://212.111.2.151:8000/rm_old_128.mp3,Rock,Czech Republic
RockMax Rádio Heavy,http://212.111.2.151:8000/rm_hard_128.mp3,Rock,Czech Republic
myRock,http://stream.myrock.fm/myrock128,Rock,Denmark
Radio Mania,http://icecast.linxtelecom.com:8000/mania.mp3,Rock,Estonia
Radio Rock,http://rstream2.nelonenmedia.fi:8000/Radiorock.mp3,Rock,Finland
M2 ROCK,http://live.m2stream.fr/m2rock-128.mp3,Rock,France
NRJ Rock,http://adwzg3.tdf-cdn.com/8528/nrj_176245.mp3,Rock,France
Oui FM,http://ice3.infomaniak.ch:80/ouifm-high.mp3,Rock,France
OUÏ FM - Collector,http://ice30.infomaniak.ch:8000/ouifm3.mp3,Rock,France
HotmixRadio Rock,http://streamingads.hotmixradio.fm/hotmixradio-rock-128.mp3,Rock,France
SAW-Rock,http://stream.hoerradar.de/sawrock-128?sABC=54o453r6%230%23244qr7oqn246p1462s52881o567810s0%23yvfgrayvirrh&amsparams=playerid:listenliveeu;skey:1421104102,Rock,Germany
Delta Radio,http://regiocast.hoerradar.de/deltaradio128?sABC=54o45455%230%23r748po1n16q93902139srrs898018714%23yvfgrayvir&amsparams=playerid:listenlive;skey:1421104213,Rock,Germany
Rockland Radio,http://188.94.98.216:80/rockland.mp3,Rock,Germany
Rock Antenne,http://mp3channels.webradio.antenne.de:80/rockantenne,Rock,Germany
Coolradio 1,http://4broadcast.de:8000/cool1_192.mp3,Rock,Germany
Classic Rock FM,http://5.20.223.18:80/crf128.mp3,Rock,Lithuania
Radio Rock,http://stream.sbsradio.no:8000/radiorock.mp3,Rock,Norway
Radio Eska Rock,http://publish.acdn.smcloud.net:8000/t041-1.mp3,Rock,Poland
RMF Classic Rock,http://195.150.20.6:8000/rmf_classic_rock,Rock,Poland
RMF Polski Rock,http://195.150.20.243:8000/rmf_polski_rock,Rock,Poland
RMF Rock,http://31.192.216.5:8000/rmf_rock,Rock,Poland
RMF Hard and Heavy,http://195.150.20.6:8000/rmf_hard_heavy,Rock,Poland
Roxy FM,http://poznan5-3.radio.pionier.net.pl:8000/roxyfm.ogg,Rock,Poland
Radio Maximum,http://maximum.fmtuner.ru/;stream.nsv,Rock,Russia
Rock Radio,http://air.radiorecord.ru:8102/rock_128,Rock,Russia
Fun Radio Rock,http://stream.funradio.sk:8000/rock128.mp3,Rock,Slovakia
Rocková republika,http://217.67.31.66:8000/republika128.mp3,Rock,Slovakia
Rockklassiker,http://194.16.21.227:8000/rock_se_mp3,Rock,Sweden
Rocket FM,http://stream.thsradio.se:8000/rocket_hi.mp3,Rock,Sweden
Energy Rock,http://ice14.infomaniak.ch:80/energyrock-high.mp3,Rock,Switzerland
Rouge Rock,http://ice14.infomaniak.ch:80/rouge-rockpop-high.mp3,Rock,Switzerland
MyRadio Rock,http://music.myradio.ua/rockmusic128.mp3,Rock,Ukraine
Русский Рок,http://music.myradio.ua/RusRock128.mp3,Rock,Ukraine
Planet Rock,http://sharpflow.sharp-stream.com:8000/planetrock.mp3,Rock,United Kingdom
A Tribute To Rock 103.5,http://streaming.radionomy.com/Q101com-Tribute-Rock1035TheBlazeChannel?.mp3,Rock,USA
Metal Head Radio,http://208.53.138.151:8032/,Rock,USA
KNAC Pure Rock,http://s5.voscast.com:7346/,Rock,USA
Rogue Rock Radio,http://listen.radionomy.com/roguerockradio?.mp3,Rock,USA
Wild Rock Radio,http://64.150.176.87:8287/,Rock,USA
